Age,Gender,Annual_Income,Occupation,Credit_Score,Family_Size,Car_Ownership,House_Ownership,Education,Marital_Status,Distance_to_Work,Monthly_Expenses,Savings,Preferred_Car_Type,Purchased
39,Female,146503,Doctor,625,1,Yes,Rent,PhD,Single,18,4185,30717,Sedan,1
39,Female,149044,Manager,448,2,No,Own,Master,Married,44,605,50984,SUV,1
63,Female,104878,Manager,839,6,No,Own,Master,Married,12,4416,26135,Truck,1
47,Female,77056,Business,787,5,No,Own,Master,Married,43,3373,29164,Hatchback,1
55,Male,47490,Business,737,3,Yes,Own,PhD,Single,28,3846,75489,Hatchback,1
55,Female,147769,Engineer,364,6,No,Rent,PhD,Single,40,3648,39562,Truck,1
62,Female,39975,Student,655,3,No,Own,High School,Single,7,3648,70110,Hatchback,1
25,Female,46723,Business,832,2,Yes,Own,Bachelor,Single,23,1965,21169,Sedan,1
44,Male,43279,Engineer,551,2,Yes,Rent,High School,Single,21,3087,60858,Truck,0
44,Male,98301,Business,534,4,No,Own,PhD,Single,34,744,22604,Hatchback,1
51,Female,132214,Student,526,2,Yes,Rent,Master,Married,11,3125,90670,Truck,1
38,Male,31561,Manager,824,2,Yes,Own,PhD,Married,22,4349,89738,SUV,1
47,Female,127435,Teacher,612,3,Yes,Own,Bachelor,Married,42,1905,1684,Truck,1
50,Male,86061,Student,348,4,Yes,Own,High School,Single,35,1481,9007,Hatchback,1
45,Male,108397,Doctor,417,2,No,Own,High School,Married,29,4308,42787,Sedan,1
64,Male,69153,Business,353,6,Yes,Own,Master,Single,42,641,50582,Truck,1
50,Male,53142,Business,343,2,Yes,Own,High School,Single,28,1392,75791,Truck,1
22,Female,46916,Manager,352,4,Yes,Rent,High School,Married,18,2899,98798,Hatchback,0
36,Female,84324,Doctor,824,5,No,Own,PhD,Single,14,3460,84629,Sedan,1
21,Female,64965,Manager,401,4,No,Rent,High School,Married,18,2699,6782,Sedan,0
52,Male,145932,Doctor,697,3,Yes,Rent,High School,Married,28,1969,67770,SUV,1
34,Female,24648,Teacher,437,5,Yes,Own,High School,Single,24,3200,58645,SUV,0
61,Female,55133,Business,686,6,No,Rent,Master,Married,8,3505,32996,Hatchback,1
45,Female,70677,Business,410,1,Yes,Own,Master,Married,42,3874,30204,Sedan,1
47,Male,116059,Teacher,316,4,Yes,Rent,PhD,Married,45,1155,18152,Sedan,0
46,Male,114588,Engineer,481,3,No,Own,High School,Married,8,3268,56186,SUV,1
63,Male,119950,Manager,835,6,Yes,Rent,Master,Single,4,542,91555,SUV,1
23,Female,118317,Teacher,840,5,Yes,Rent,Master,Married,27,2811,86024,Hatchback,1
52,Female,90135,Manager,470,6,No,Own,PhD,Married,36,2160,20689,Sedan,1
58,Female,55046,Student,708,4,No,Rent,Bachelor,Married,5,2724,51690,Truck,1
54,Male,67064,Business,677,2,Yes,Own,High School,Single,33,2610,95042,SUV,1
41,Male,121459,Manager,487,4,No,Own,Master,Married,49,1457,84251,Hatchback,1
46,Female,126625,Doctor,529,1,Yes,Own,PhD,Single,34,1060,58320,Sedan,1
63,Male,89350,Manager,418,4,Yes,Own,PhD,Married,30,1830,65226,Sedan,1
48,Male,65893,Student,455,5,Yes,Own,PhD,Married,8,1812,57091,SUV,1
52,Male,121520,Business,764,5,No,Rent,Master,Married,39,2321,80301,Hatchback,1
50,Male,145818,Teacher,403,4,No,Rent,High School,Single,47,3502,22942,Truck,1
38,Female,81272,Student,801,5,Yes,Rent,Bachelor,Single,26,3903,39712,SUV,1
49,Male,112152,Business,474,2,Yes,Own,High School,Single,37,3151,66277,Hatchback,1
40,Male,142907,Manager,720,6,No,Rent,PhD,Single,34,2314,50632,Sedan,1
50,Male,87649,Engineer,433,4,No,Rent,PhD,Single,7,2241,39031,Truck,1
20,Male,84674,Engineer,690,2,No,Rent,Bachelor,Single,40,4308,21478,Hatchback,1
35,Female,144132,Doctor,800,6,Yes,Rent,High School,Married,28,3377,23551,Truck,1
42,Female,139044,Business,332,6,No,Rent,PhD,Single,39,3770,49068,Hatchback,1
59,Male,128542,Engineer,354,2,No,Own,PhD,Married,39,4583,94608,Hatchback,1
48,Male,33760,Teacher,818,3,Yes,Own,High School,Single,28,1245,36561,Hatchback,1
20,Male,41927,Business,311,4,Yes,Rent,PhD,Single,14,1057,3892,Hatchback,0
57,Male,106475,Teacher,827,6,Yes,Own,High School,Single,38,3801,25395,Truck,1
63,Male,81367,Teacher,672,6,No,Own,PhD,Married,4,1441,19756,SUV,1
41,Male,117955,Engineer,783,5,Yes,Rent,High School,Single,42,4523,88710,Truck,1
49,Female,32588,Business,527,6,Yes,Rent,Bachelor,Single,18,2796,35651,Hatchback,0
64,Male,141750,Manager,606,2,Yes,Own,PhD,Married,44,1439,67333,Truck,1
39,Female,121678,Student,756,6,Yes,Rent,Bachelor,Married,48,2110,74745,Truck,1
40,Female,124734,Engineer,459,3,No,Own,PhD,Married,25,2225,50306,Truck,1
19,Male,138154,Engineer,630,4,Yes,Own,PhD,Married,7,1484,22346,Hatchback,1
44,Female,72233,Manager,524,4,No,Rent,Master,Single,38,2087,29024,Truck,1
59,Female,64738,Business,803,6,No,Own,High School,Married,28,4521,95950,Sedan,1
19,Female,53397,Business,755,1,No,Own,Bachelor,Single,5,1836,41818,Hatchback,1
43,Female,102189,Teacher,344,1,Yes,Own,Bachelor,Single,3,3637,6947,Truck,0
34,Female,96367,Manager,513,2,No,Rent,Bachelor,Married,44,1161,76153,Sedan,1
57,Female,144873,Manager,358,1,Yes,Rent,High School,Single,31,532,87240,Truck,1
50,Male,91260,Business,494,2,Yes,Rent,Master,Married,47,3914,95238,SUV,1
26,Female,140585,Teacher,788,5,Yes,Rent,Bachelor,Single,42,1656,68428,Truck,1
60,Female,96619,Engineer,456,2,No,Own,High School,Married,20,3626,30754,Truck,1
56,Female,131453,Doctor,525,1,Yes,Rent,PhD,Married,19,560,64355,SUV,1
46,Male,39816,Student,711,6,Yes,Rent,Bachelor,Married,48,4428,59241,Hatchback,1
59,Female,62240,Engineer,504,5,Yes,Rent,Bachelor,Married,11,2043,69960,SUV,0
43,Male,26276,Business,378,1,No,Rent,Master,Married,40,771,14418,Hatchback,0
52,Female,133939,Student,423,2,No,Own,Bachelor,Married,3,4576,96422,SUV,1
42,Male,124199,Doctor,770,3,No,Own,Bachelor,Single,23,3888,89593,Truck,1
41,Male,99530,Doctor,517,4,Yes,Own,PhD,Single,7,3252,56184,Truck,1
30,Female,43499,Teacher,815,1,No,Rent,High School,Single,23,3209,5833,Hatchback,0
24,Female,108576,Student,403,2,Yes,Rent,High School,Married,7,1654,76430,Hatchback,1
53,Male,128856,Teacher,692,5,Yes,Own,Master,Single,46,4905,42833,Sedan,1
62,Female,102495,Engineer,733,1,No,Rent,PhD,Married,34,4353,1565,Sedan,1
37,Male,141717,Manager,630,1,Yes,Rent,High School,Single,42,2245,41180,Truck,1
18,Male,91635,Manager,442,4,No,Own,PhD,Single,19,3932,19402,Truck,0
25,Male,127803,Manager,839,2,Yes,Own,High School,Married,9,837,43845,Sedan,1
63,Male,105112,Student,577,3,No,Rent,PhD,Single,48,509,76851,Sedan,1
33,Male,55946,Manager,532,5,Yes,Rent,Master,Single,18,4644,13834,Hatchback,0
31,Female,75204,Engineer,828,2,Yes,Rent,Bachelor,Single,41,1230,68850,SUV,1
29,Male,71886,Teacher,389,5,Yes,Own,Master,Married,48,2148,38180,Hatchback,1
40,Male,91652,Student,791,1,Yes,Own,High School,Single,45,4728,4883,Sedan,1
32,Female,35563,Teacher,498,4,Yes,Own,Master,Married,42,4154,76587,Truck,0
45,Male,112324,Student,661,4,No,Own,Bachelor,Single,25,2630,12695,Sedan,1
51,Female,112464,Teacher,740,6,Yes,Rent,Master,Single,14,4971,24123,Truck,1
19,Female,121872,Doctor,325,3,No,Own,High School,Single,44,2896,59481,Truck,1
49,Female,29847,Teacher,324,4,No,Own,High School,Single,25,4866,74438,Truck,0
40,Male,46155,Manager,693,1,No,Rent,Master,Married,19,2006,18573,Truck,0
39,Male,99671,Doctor,806,3,Yes,Rent,Bachelor,Single,39,2658,95910,SUV,1
42,Male,136891,Teacher,600,2,Yes,Rent,Master,Married,15,3416,57494,Sedan,1
39,Female,103310,Student,638,4,Yes,Own,Bachelor,Married,16,4671,13288,Hatchback,0
39,Male,87278,Student,566,3,No,Rent,PhD,Single,27,3729,47978,Truck,1
59,Female,38309,Student,760,1,Yes,Rent,Bachelor,Single,40,4103,73420,Truck,1
23,Male,20619,Business,755,6,Yes,Own,PhD,Married,10,2166,77095,Hatchback,1
32,Female,103194,Engineer,659,5,No,Own,Master,Married,4,4924,55672,Hatchback,1
60,Male,70108,Student,367,5,No,Rent,Bachelor,Single,19,4636,62821,Truck,1
54,Male,54707,Doctor,711,1,No,Own,PhD,Single,28,3469,84661,Hatchback,1
50,Male,40337,Student,790,1,No,Rent,PhD,Single,21,3189,70224,Hatchback,1
25,Female,145261,Business,348,5,No,Rent,PhD,Single,47,2826,90405,SUV,1
61,Female,101537,Manager,401,6,No,Own,High School,Single,14,3310,55796,Hatchback,1
61,Male,86504,Doctor,515,3,Yes,Rent,Master,Married,33,3016,45706,Sedan,1
22,Male,67614,Business,737,5,No,Own,PhD,Single,48,3971,5023,Sedan,0
56,Female,111428,Manager,458,1,Yes,Own,Bachelor,Single,10,512,83636,Sedan,1
21,Female,111155,Doctor,788,4,Yes,Own,PhD,Married,19,3470,37735,Truck,1
23,Female,20281,Teacher,541,2,Yes,Rent,High School,Single,30,4121,73959,Sedan,0
62,Male,47420,Engineer,304,6,No,Own,Master,Single,22,4183,40218,SUV,0
49,Female,100896,Engineer,660,6,Yes,Own,High School,Married,3,3973,13213,Sedan,1
47,Male,59030,Business,758,4,No,Rent,High School,Single,37,3622,99694,Truck,1
64,Female,21058,Manager,547,4,No,Rent,High School,Married,41,3964,29460,SUV,0
52,Male,106213,Engineer,721,1,Yes,Rent,Bachelor,Single,18,1152,65680,Sedan,1
57,Female,96260,Manager,314,5,No,Rent,Master,Single,11,1120,32017,SUV,1
33,Female,48404,Manager,421,3,Yes,Own,Master,Single,48,4290,99536,SUV,0
30,Female,123482,Business,576,6,Yes,Own,Bachelor,Married,2,2145,93038,Truck,1
59,Female,125284,Business,752,6,No,Own,Master,Married,12,2743,31990,Truck,1
47,Female,49856,Business,689,4,Yes,Rent,High School,Married,6,3991,20515,SUV,1
36,Male,29200,Engineer,593,5,Yes,Rent,Master,Married,43,4211,30991,Sedan,0
34,Female,84178,Business,745,6,Yes,Own,Bachelor,Single,40,4188,8634,Truck,1
36,Female,53997,Engineer,509,3,No,Rent,High School,Married,44,1879,78034,SUV,0
45,Female,45611,Business,601,4,Yes,Rent,Bachelor,Married,29,4743,77452,Hatchback,0
43,Male,139273,Student,522,3,No,Own,PhD,Married,30,2545,30377,Hatchback,1
54,Female,61235,Manager,302,5,No,Own,High School,Single,2,3548,34001,Truck,0
43,Male,137428,Business,817,6,Yes,Rent,High School,Single,9,1888,2391,Sedan,1
40,Female,55057,Doctor,392,2,Yes,Rent,Master,Married,47,901,66206,Hatchback,0
26,Female,21239,Manager,819,6,No,Rent,High School,Married,2,3153,43215,Hatchback,1
29,Male,123674,Manager,727,5,No,Own,Bachelor,Single,29,4824,80720,Hatchback,1
18,Female,134474,Business,792,6,Yes,Own,Master,Married,33,4423,28114,Sedan,1
18,Male,85661,Teacher,534,6,Yes,Own,PhD,Married,10,767,12882,Sedan,0
64,Male,146945,Business,460,1,No,Own,Bachelor,Married,34,4721,18273,Truck,0
51,Female,65272,Manager,630,6,No,Own,PhD,Married,44,2225,46647,Truck,1
49,Male,109393,Doctor,632,6,No,Rent,PhD,Single,8,1612,83665,Hatchback,1
42,Female,81212,Manager,349,3,No,Rent,PhD,Single,37,3175,65892,Sedan,1
57,Female,144088,Doctor,822,2,No,Rent,High School,Single,33,1780,43679,SUV,1
62,Male,35398,Engineer,791,3,Yes,Own,Bachelor,Married,47,1732,1427,Hatchback,1
18,Male,140030,Student,571,3,No,Own,Bachelor,Married,6,4876,97952,Truck,1
33,Male,76503,Manager,551,4,No,Own,High School,Single,44,2363,67267,Sedan,1
56,Male,26638,Business,389,1,Yes,Rent,Master,Single,40,4984,1799,Truck,0
22,Female,26570,Engineer,745,3,Yes,Own,PhD,Single,45,1116,56659,Truck,1
39,Female,88785,Student,631,5,No,Own,Bachelor,Married,19,646,95409,Sedan,1
46,Male,29110,Business,438,5,No,Rent,High School,Single,32,4177,8025,Hatchback,0
20,Female,125899,Teacher,656,6,Yes,Own,PhD,Married,27,788,15481,Sedan,1
29,Female,99141,Business,573,4,No,Rent,Master,Married,1,1909,26411,Hatchback,1
43,Female,32115,Doctor,318,1,No,Own,Master,Single,43,513,97894,Truck,1
33,Female,59062,Doctor,610,1,Yes,Own,PhD,Single,33,756,15961,Sedan,0
54,Male,42911,Teacher,453,6,No,Rent,Master,Married,40,2221,22767,SUV,0
39,Male,124061,Engineer,689,5,Yes,Rent,Bachelor,Single,32,1923,52690,Hatchback,1
46,Female,52556,Student,559,2,Yes,Rent,Bachelor,Single,5,3490,53870,SUV,0
31,Male,98131,Business,424,4,Yes,Rent,Bachelor,Married,17,1695,37135,Hatchback,1
45,Male,148335,Doctor,653,6,Yes,Rent,Master,Married,8,4865,65514,Sedan,1
22,Male,21969,Engineer,572,4,No,Rent,Bachelor,Married,42,1744,87928,SUV,0
64,Female,63753,Teacher,544,5,Yes,Own,High School,Married,34,3723,79798,Sedan,0
47,Female,102811,Manager,749,5,No,Own,Bachelor,Married,9,3970,71765,Hatchback,1
63,Female,24470,Doctor,546,2,No,Rent,Bachelor,Single,23,4667,24772,Hatchback,0
22,Male,141863,Teacher,819,2,No,Own,Master,Married,35,4469,19799,Hatchback,1
29,Female,30225,Business,440,1,No,Rent,Bachelor,Married,7,1806,24555,Hatchback,0
33,Female,127860,Student,661,4,No,Own,PhD,Married,15,2621,93152,Truck,1
43,Male,143008,Doctor,307,4,Yes,Rent,High School,Single,20,2902,20333,Hatchback,1
43,Female,127510,Doctor,777,5,Yes,Own,Master,Married,25,996,5261,SUV,1
38,Female,128295,Business,651,1,Yes,Own,High School,Married,3,3899,70002,Hatchback,1
56,Male,43196,Manager,794,6,Yes,Own,PhD,Married,46,4106,47553,Sedan,1
53,Male,125823,Engineer,726,4,No,Own,Master,Single,24,1409,4088,Truck,1
50,Male,33669,Student,338,1,Yes,Own,Master,Married,34,872,46783,SUV,1
47,Female,57380,Doctor,486,1,No,Rent,Bachelor,Married,46,4957,2115,Truck,0
54,Female,144398,Student,392,5,No,Rent,High School,Married,22,1844,71114,Truck,1
40,Female,130677,Doctor,385,1,Yes,Rent,PhD,Single,11,823,69126,Truck,1
27,Male,135886,Student,343,2,Yes,Own,PhD,Single,48,2931,73908,Sedan,1
22,Male,146753,Teacher,436,2,Yes,Rent,Master,Single,8,3284,70109,Truck,0
53,Female,68320,Doctor,720,3,Yes,Own,Bachelor,Single,39,2893,3978,Truck,1
51,Female,67414,Student,373,5,No,Own,Master,Married,43,4420,10422,Hatchback,0
48,Male,123542,Engineer,847,6,No,Own,Master,Married,35,1715,44626,Sedan,1
27,Male,35577,Teacher,811,3,Yes,Rent,Master,Single,49,2195,90233,SUV,1
36,Male,145354,Teacher,455,2,No,Own,Master,Single,46,2407,57174,SUV,1
49,Male,108009,Engineer,554,3,No,Rent,PhD,Married,38,1280,97356,SUV,1
18,Female,146365,Student,470,5,No,Rent,PhD,Married,8,1519,38743,Sedan,1
22,Male,75409,Business,469,5,Yes,Own,Master,Single,37,3765,71461,SUV,1
62,Female,48625,Engineer,621,1,No,Own,Master,Single,27,1903,58199,Sedan,1
21,Female,101040,Student,755,4,Yes,Rent,Bachelor,Single,28,1926,30430,Hatchback,1
33,Female,44089,Engineer,454,1,Yes,Rent,Master,Single,40,1163,29834,Hatchback,0
41,Male,56487,Engineer,648,5,No,Rent,PhD,Married,34,3147,25435,Sedan,0
33,Male,85838,Doctor,750,2,No,Rent,High School,Single,32,510,88212,SUV,1
19,Male,116999,Student,472,6,Yes,Rent,PhD,Single,15,1538,56797,Sedan,1
45,Male,130448,Business,309,2,No,Rent,Bachelor,Married,44,3325,44554,Sedan,1
49,Female,114795,Doctor,564,1,No,Own,PhD,Married,17,3503,55555,Truck,1
44,Male,70138,Engineer,737,6,Yes,Rent,High School,Married,33,1575,86350,Sedan,1
37,Male,62823,Manager,546,5,Yes,Rent,Master,Married,47,3588,15716,Truck,0
41,Female,57208,Engineer,845,2,Yes,Rent,High School,Married,46,2289,61261,Hatchback,1
29,Male,74061,Engineer,798,5,Yes,Rent,Master,Single,16,3536,28528,Truck,1
52,Female,50659,Student,428,6,No,Own,Master,Single,29,4153,2995,Sedan,0
50,Female,149824,Student,626,6,No,Own,PhD,Single,9,3675,23414,Hatchback,1
50,Female,121376,Doctor,703,2,Yes,Rent,PhD,Married,33,4799,14844,Truck,1
60,Female,51890,Business,658,5,Yes,Rent,PhD,Single,49,1576,37659,Sedan,1
54,Female,99134,Doctor,316,3,Yes,Rent,Bachelor,Married,29,1473,16522,Hatchback,0
29,Female,67055,Teacher,573,5,No,Own,PhD,Single,13,2365,75034,Truck,1
20,Female,132269,Engineer,415,6,Yes,Own,Bachelor,Single,21,3625,43322,Sedan,1
18,Female,39508,Manager,390,5,No,Own,PhD,Married,21,1799,68638,Sedan,0
50,Male,62287,Engineer,381,1,Yes,Own,Master,Married,5,3906,9524,SUV,0
57,Male,98916,Engineer,623,3,Yes,Own,Bachelor,Single,10,1658,31846,SUV,1
27,Male,46984,Doctor,413,4,Yes,Own,High School,Single,6,3629,74643,Truck,0
60,Male,130169,Manager,357,1,No,Rent,Bachelor,Single,13,604,61096,Truck,1
61,Female,28125,Manager,453,4,No,Own,Bachelor,Single,1,4067,84804,Truck,0
46,Male,56059,Manager,703,2,No,Own,High School,Single,20,4848,48703,Sedan,1
30,Female,89569,Doctor,565,4,Yes,Rent,Bachelor,Married,47,4890,25399,Truck,1
29,Male,123409,Engineer,614,5,No,Own,Master,Married,46,1681,76160,Sedan,1
48,Male,37087,Doctor,340,4,No,Rent,PhD,Married,8,3638,93662,Truck,0
63,Male,126437,Student,404,6,Yes,Own,High School,Married,10,4894,89667,Sedan,1
19,Female,135262,Student,492,1,Yes,Rent,PhD,Single,9,4034,49591,Sedan,0
52,Male,25704,Doctor,700,1,No,Rent,Master,Single,49,4696,21714,SUV,1
40,Female,80576,Manager,577,4,No,Rent,High School,Married,41,3627,36877,Hatchback,1
34,Female,93384,Engineer,653,1,No,Rent,PhD,Single,3,2274,85106,Sedan,1
43,Male,107128,Doctor,555,6,No,Rent,PhD,Married,11,4314,79018,Truck,1
25,Male,131279,Doctor,398,1,Yes,Own,Master,Single,12,591,60136,SUV,1
46,Male,92460,Doctor,581,4,Yes,Own,PhD,Single,10,946,34414,Truck,1
43,Female,47208,Teacher,702,3,Yes,Rent,Master,Single,25,608,87576,Truck,1
27,Male,138516,Student,408,3,No,Rent,Bachelor,Married,49,4912,79943,Sedan,1
43,Female,149612,Manager,498,2,No,Rent,Master,Married,49,3739,46468,Sedan,1
51,Female,105150,Business,602,1,Yes,Own,Bachelor,Married,25,4553,99841,Hatchback,1
58,Male,86024,Manager,626,4,Yes,Rent,High School,Married,11,1745,80702,Sedan,1
24,Male,59882,Business,453,1,No,Rent,PhD,Single,36,3220,73108,Sedan,0
21,Female,45923,Teacher,704,5,No,Rent,Master,Single,39,777,99538,Hatchback,1
62,Female,146561,Doctor,761,6,Yes,Rent,Master,Single,26,3556,93508,Truck,1
28,Female,134044,Teacher,431,1,Yes,Own,PhD,Single,14,3422,47835,Hatchback,1
46,Male,121477,Teacher,383,1,Yes,Rent,PhD,Married,39,3013,64333,Hatchback,1
53,Female,49165,Engineer,698,3,No,Rent,High School,Single,40,1338,43464,Hatchback,1
42,Male,87203,Student,408,6,No,Own,High School,Single,1,3301,23923,SUV,1
38,Female,111749,Business,520,4,No,Rent,Master,Single,4,529,62855,Truck,1
53,Female,24114,Doctor,667,1,No,Rent,High School,Married,30,1757,68445,SUV,1
27,Male,84965,Business,446,3,No,Own,Bachelor,Married,12,864,99384,SUV,1
54,Female,56321,Manager,411,2,No,Own,High School,Married,35,2300,68619,Sedan,1
26,Male,93297,Business,793,6,Yes,Own,High School,Single,13,1404,47146,Hatchback,1
41,Male,116652,Manager,804,3,Yes,Rent,Master,Married,31,2678,61032,Hatchback,1
52,Female,119304,Student,774,3,No,Rent,Bachelor,Single,38,3350,18140,SUV,1
52,Male,133942,Manager,570,3,Yes,Own,High School,Single,43,3336,3670,Sedan,0
53,Male,45426,Business,720,1,No,Own,Bachelor,Single,23,4946,37519,Sedan,1
35,Female,37772,Business,666,1,Yes,Own,Bachelor,Married,4,679,45512,Sedan,1
56,Male,123754,Manager,579,2,No,Rent,Bachelor,Married,16,4373,58811,Truck,1
49,Male,23712,Teacher,582,5,Yes,Rent,PhD,Single,7,4460,15691,SUV,0
41,Male,21367,Student,339,5,Yes,Own,PhD,Single,22,1686,35262,Truck,1
40,Female,126493,Engineer,488,5,No,Rent,PhD,Married,29,4459,55892,Sedan,1
49,Male,127317,Doctor,463,6,No,Own,PhD,Married,11,1273,26595,Sedan,1
54,Female,135142,Business,835,6,Yes,Rent,Master,Married,33,4960,58207,Sedan,1
29,Female,111736,Doctor,835,2,Yes,Rent,High School,Single,29,852,34440,Hatchback,1
30,Male,71924,Engineer,303,6,No,Rent,PhD,Single,39,3528,9630,SUV,0
40,Male,23726,Doctor,589,5,Yes,Rent,Master,Single,12,617,32250,Hatchback,0
42,Male,109152,Engineer,732,5,No,Own,High School,Married,7,981,95334,Truck,1
52,Female,47723,Manager,770,3,No,Rent,PhD,Married,39,4787,99748,Hatchback,1
58,Male,146969,Teacher,480,6,Yes,Rent,High School,Married,42,3137,78518,SUV,1
47,Male,123110,Business,547,1,No,Own,PhD,Single,48,606,75191,Hatchback,1
34,Male,120494,Engineer,578,1,Yes,Rent,Master,Single,26,4977,65791,Sedan,1
37,Male,29108,Doctor,553,3,Yes,Own,Bachelor,Married,40,743,85118,Truck,1
42,Male,97714,Business,480,3,No,Own,Bachelor,Single,9,3132,64753,Truck,1
39,Female,55643,Teacher,808,3,Yes,Rent,High School,Married,41,1365,61520,Sedan,1
30,Female,51324,Manager,625,1,No,Rent,Master,Single,34,3481,5008,Sedan,0
36,Male,123896,Business,656,5,No,Own,Bachelor,Married,45,2061,45464,Sedan,1
53,Male,103360,Engineer,690,3,No,Own,PhD,Single,13,1103,1496,SUV,1
29,Male,130896,Teacher,384,2,Yes,Own,Bachelor,Single,36,3562,24212,Hatchback,1
58,Male,28927,Doctor,616,3,No,Rent,High School,Married,25,4518,21637,Truck,0
36,Female,113680,Teacher,511,4,Yes,Own,High School,Married,24,2515,46227,Hatchback,1
29,Male,116546,Teacher,814,3,No,Own,Master,Married,44,2158,83413,Sedan,1
26,Female,42443,Student,683,1,No,Own,High School,Married,17,3880,84346,Sedan,1
24,Female,99973,Teacher,641,6,No,Rent,Bachelor,Married,2,4267,10884,Hatchback,0
45,Male,83449,Teacher,337,3,Yes,Own,Bachelor,Single,13,4270,69259,Truck,1
31,Female,129834,Business,810,6,Yes,Rent,Bachelor,Married,31,2113,50810,SUV,1
48,Female,125314,Doctor,719,4,No,Rent,Bachelor,Married,29,2379,5761,Hatchback,1
36,Female,96743,Business,468,2,No,Own,Master,Married,28,4608,74166,Sedan,1
64,Female,141805,Business,642,6,Yes,Rent,PhD,Single,27,2846,17375,Sedan,0
33,Male,80233,Engineer,605,5,Yes,Own,PhD,Married,15,1599,26218,SUV,1
22,Male,45537,Business,841,3,Yes,Rent,Master,Married,31,1574,31565,Hatchback,1
52,Female,121293,Student,836,4,No,Rent,High School,Married,40,1286,33975,SUV,1
29,Male,97576,Student,411,4,Yes,Own,PhD,Single,15,648,28073,SUV,1
42,Male,127522,Engineer,710,6,No,Own,High School,Single,33,2254,70726,Truck,1
38,Male,42612,Manager,505,2,Yes,Own,PhD,Married,20,2669,2883,Truck,0
53,Male,113977,Doctor,484,1,No,Rent,High School,Single,42,4256,69422,Sedan,1
40,Male,26471,Doctor,681,3,No,Rent,Master,Married,12,1679,50629,Hatchback,1
33,Female,55631,Business,795,4,No,Own,Bachelor,Single,37,3809,65170,Truck,1
56,Male,148449,Business,678,2,Yes,Own,High School,Married,9,2923,75489,Sedan,1
62,Male,128997,Manager,346,5,Yes,Rent,Bachelor,Single,23,4677,9381,Hatchback,0
59,Male,112059,Business,827,4,Yes,Rent,High School,Married,8,1424,24238,Sedan,1
56,Male,51348,Doctor,803,2,No,Rent,High School,Married,32,2103,14795,Truck,0
31,Female,84732,Teacher,321,1,No,Own,High School,Single,48,3552,96964,Sedan,1
48,Female,21177,Student,512,1,Yes,Rent,High School,Married,14,4718,63999,Hatchback,0
22,Female,24760,Teacher,609,4,No,Own,High School,Married,27,2877,50907,Hatchback,0
52,Female,52779,Teacher,571,4,No,Rent,Bachelor,Married,25,3980,10638,Sedan,0
40,Male,41636,Doctor,501,6,No,Rent,High School,Married,13,3682,71467,Hatchback,0
46,Female,101889,Teacher,331,3,Yes,Own,Bachelor,Single,21,3317,43623,Sedan,1
60,Male,73551,Manager,742,2,No,Own,Master,Married,45,3660,39492,Hatchback,1
28,Male,31556,Engineer,461,4,Yes,Own,PhD,Single,31,1211,27411,Sedan,1
35,Male,47598,Business,553,3,Yes,Rent,High School,Single,37,3086,21534,Sedan,0
64,Male,31563,Engineer,820,6,Yes,Rent,PhD,Single,48,3148,30181,Sedan,1
29,Male,66819,Student,779,3,Yes,Rent,Bachelor,Single,43,2217,20996,SUV,1
26,Female,129326,Business,309,4,Yes,Own,Master,Married,5,4852,73089,Hatchback,1
27,Female,93770,Teacher,804,1,No,Rent,Master,Married,13,1370,84609,Truck,1
61,Female,111055,Student,735,2,Yes,Own,Master,Single,28,4074,73666,Sedan,1
34,Female,46966,Business,410,2,Yes,Own,PhD,Married,43,770,30405,SUV,1
55,Male,140133,Manager,452,1,Yes,Own,Bachelor,Single,25,2043,72325,Truck,1
24,Female,101709,Manager,401,4,No,Rent,High School,Married,35,1049,29930,Sedan,1
63,Male,79889,Manager,490,2,No,Rent,High School,Married,47,4514,18529,Truck,0
30,Female,46987,Manager,380,4,No,Own,Bachelor,Married,39,4954,54546,SUV,0
57,Male,98714,Teacher,788,6,No,Rent,PhD,Single,7,2212,8942,Truck,1
59,Male,124874,Engineer,387,4,Yes,Own,High School,Single,38,3740,8548,Sedan,0
26,Female,78348,Business,493,3,Yes,Own,Bachelor,Married,32,1862,19296,Truck,1
44,Male,44596,Teacher,403,1,No,Rent,High School,Single,3,1784,52016,Truck,0
19,Male,53174,Manager,395,4,No,Own,Master,Single,45,1386,98780,Sedan,0
22,Female,84106,Engineer,722,6,No,Own,High School,Married,39,2758,1296,SUV,1
46,Male,127510,Student,497,5,No,Rent,PhD,Single,37,4882,68945,SUV,1
54,Female,89967,Student,300,1,Yes,Own,Bachelor,Married,22,2285,60980,Truck,1
55,Female,79182,Student,706,2,No,Own,PhD,Married,8,4043,57782,Hatchback,1
36,Female,113300,Manager,677,3,No,Own,Bachelor,Married,17,795,35229,Truck,1
25,Male,107163,Student,466,2,No,Own,Master,Single,27,2553,97382,Hatchback,1
62,Male,59310,Doctor,808,6,No,Own,Bachelor,Married,33,3097,54444,Truck,1
18,Male,76088,Business,612,6,No,Own,High School,Married,46,1180,36036,SUV,1
39,Female,148803,Business,717,2,No,Own,High School,Single,17,4798,40322,Truck,1
34,Male,28906,Manager,776,1,No,Rent,Master,Single,42,824,28167,Truck,1
24,Female,56914,Doctor,372,2,Yes,Rent,Bachelor,Single,12,2791,52667,Hatchback,0
42,Female,130350,Teacher,440,4,Yes,Own,Master,Single,48,4922,95527,SUV,1
